model_size,method,seed,step,train_format,train_correctness,val_format,val_correctness,pi_correctness,w_correctness,active_groups_correctness,pi_format,w_format,active_groups_format
1.5B,rdgdpo_positive,0,63,0.947265625,1.902838826,,,0.185546875,1.000000000,95.000000000,0.027343750,2.604940361,14.000000000
1.5B,rdgdpo_positive,0,64,0.918945312,1.794444084,,,0.154296875,1.000000000,79.000000000,0.029296875,2.294921930,15.000000000
1.5B,rdgdpo_positive,0,65,0.945800781,1.929642558,,,0.181640625,1.000000000,93.000000000,0.027343750,2.577374079,14.000000000
1.5B,rdgdpo_positive,0,66,0.953125000,1.800246835,,,0.171875000,1.000000000,88.000000000,0.013671875,3.545621042,7.000000000
1.5B,rdgdpo_positive,0,67,0.927734375,1.832563639,,,0.134765625,1.000000000,69.000000000,0.035156250,1.957890021,18.000000000
1.5B,rdgdpo_positive,0,68,0.950683594,1.787958622,,,0.173828125,1.000000000,89.000000000,0.025390625,2.616515593,13.000000000
1.5B,rdgdpo_positive,0,69,0.937011719,1.775857687,,,0.146484375,1.000000000,75.000000000,0.031250000,2.165063509,16.000000000
1.5B,rdgdpo_positive,0,70,0.937011719,1.870358109,0.975000000,1.776758555,0.164062500,1.000000000,84.000000000,0.042968750,1.954016842,22.000000000
1.5B,rdgdpo_positive,0,71,0.942382812,1.838260412,,,0.148437500,1.000000000,76.000000000,0.019531250,2.756809750,10.000000000
1.5B,rdgdpo_positive,0,72,0.923828125,1.792949319,,,0.177734375,1.000000000,91.000000000,0.023437500,2.753785274,12.000000000
1.5B,rdgdpo_positive,0,73,0.939453125,1.857846260,,,0.158203125,1.000000000,81.000000000,0.015625000,3.181980515,8.000000000
1.5B,rdgdpo_positive,0,74,0.922363281,1.750328779,,,0.171875000,1.000000000,88.000000000,0.039062500,2.097617696,20.000000000
1.5B,rdgdpo_positive,0,75,0.920898438,1.815852761,,,0.144531250,1.000000000,74.000000000,0.033203125,2.086370335,17.000000000
1.5B,rdgdpo_positive,0,76,0.951171875,1.846386671,,,0.134765625,1.000000000,69.000000000,0.025390625,2.303842943,13.000000000
1.5B,rdgdpo_positive,0,77,0.951660156,1.919392586,,,0.134765625,1.000000000,69.000000000,0.015625000,2.936835031,8.000000000
1.5B,rdgdpo_positive,0,78,0.958496094,1.985824585,,,0.109375000,1.000000000,56.000000000,0.017578125,2.494438258,9.000000000
1.5B,rdgdpo_positive,0,79,0.948242188,1.935195088,,,0.128906250,1.000000000,66.000000000,0.027343750,2.171240593,14.000000000
1.5B,rdgdpo_positive,0,80,0.946777344,1.889518023,0.975000000,1.790476503,0.146484375,1.000000000,75.000000000,0.021484375,2.611164839,11.000000000
1.5B,rdgdpo_positive,0,81,0.930664062,1.816678166,,,0.132812500,1.000000000,68.000000000,0.021484375,2.486326242,11.000000000
1.5B,rdgdpo_positive,0,82,0.927246094,1.880512595,,,0.121093750,1.000000000,62.000000000,0.015625000,2.783882181,8.000000000
1.5B,rdgdpo_positive,0,83,0.942382812,1.781737566,,,0.126953125,1.000000000,65.000000000,0.017578125,2.687419249,9.000000000
1.5B,rdgdpo_positive,0,84,0.945800781,1.865906715,,,0.121093750,1.000000000,62.000000000,0.017578125,2.624669291,9.000000000
1.5B,rdgdpo_positive,0,85,0.940917969,1.832679749,,,0.097656250,1.000000000,50.000000000,0.017578125,2.357022604,9.000000000
1.5B,rdgdpo_positive,0,86,0.946777344,1.928434253,,,0.119140625,1.000000000,61.000000000,0.019531250,2.469817807,10.000000000
1.5B,rdgdpo_positive,0,87,0.944824219,1.888093233,,,0.117187500,1.000000000,60.000000000,0.021484375,2.335496832,11.000000000
