infra,model_size,method,seed,checkpoint_step,v4_complete,v3_live,v3_non_live,v4_live,v4_live_format,v4_non_live,v4_non_live_format,v4_multi_turn,v4_multi_turn_format,v4_average,v4_average_format,v3_live_simple,v3_live_multiple,v3_live_parallel,v3_live_parallel_multiple,v3_non_live_simple,v3_non_live_multiple,v3_non_live_parallel,v3_non_live_parallel_multiple,source_model_id,run_id
haotian,1.5B,rvpo,0,100,True,66.39526276831977,77.54166666666667,66.69133974833457,99.9259807549963,77.54166666666666,100.0,5.625,92.84003623130542,49.952668805000414,97.58867232876725,70.54263565891473,65.8119658119658,43.75,62.5,69.66666666666667,86.0,79.5,75.0,haotian-rvpo-s0,1.5b-rvpo-s0
haotian,1.5B,rvpo,1,100,True,69.8741672834937,79.83333333333333,69.8741672834937,99.9259807549963,79.70833333333334,100.0,4.5,95.15737194411165,51.36083353894235,98.36111756636932,75.1937984496124,68.94586894586895,50.0,66.66666666666667,71.83333333333333,87.5,84.0,76.0,haotian-rvpo-s1,1.5b-rvpo-s1
haotian,1.5B,rvpo,2,100,True,69.3560325684678,79.79166666666667,69.80014803849001,99.85196150999259,79.3125,100.0,4.5,84.79983608418374,51.20421601283,94.8839325313921,76.74418604651163,68.09116809116809,50.0,58.333333333333336,71.16666666666667,88.5,83.0,76.5,haotian-rvpo-s2,1.5b-rvpo-s2
haotian,1.5B,dvao,0,100,True,66.83937823834196,80.3125,67.20947446336048,100.0,79.4375,100.0,4.0,90.42491768936671,50.21565815445349,96.80830589645556,70.93023255813954,66.28679962013295,50.0,58.333333333333336,72.75,89.5,82.0,77.0,haotian-dvao-s0,1.5b-dvao-s0
haotian,1.5B,dvao,1,100,True,67.65358993338268,80.0625,67.13545521835678,4.811250925240563,79.04166666666667,1.7083333333333333,1.625,46.82778449809331,49.26737396167448,17.782456252222403,72.48062015503876,66.85660018993352,50.0,62.5,71.75,87.0,82.5,79.0,haotian-dvao-s1,1.5b-dvao-s1
haotian,1.5B,dvao,2,100,True,68.17172464840858,77.97916666666667,68.09770540340489,99.55588452997779,77.95833333333333,99.125,4.25,78.68483978777073,50.102012912246074,92.4552414392495,72.48062015503876,67.33143399810066,56.25,66.66666666666667,71.91666666666667,86.5,82.0,71.5,haotian-dvao-s2,1.5b-dvao-s2
haotian,1.5B,gd2po_hard,0,100,True,68.6898593634345,81.02083333333333,69.2820133234641,100.0,80.47916666666667,100.0,4.125,89.4792990097087,51.295393330043595,96.49309966990289,74.8062015503876,67.61633428300095,50.0,62.5,71.58333333333333,88.0,85.0,79.5,haotian-gd2po-hard-s0,1.5b-gd2po_hard-s0
haotian,1.5B,gd2po_hard,1,100,True,67.80162842339008,80.27083333333333,68.39378238341969,99.9259807549963,79.39583333333333,100.0,5.875,86.74420718608623,51.221538572251,95.55672931369418,72.48062015503876,67.04653371320038,50.0,62.5,71.58333333333333,87.0,81.5,81.0,haotian-gd2po-hard-s1,1.5b-gd2po_hard-s1
haotian,1.5B,gd2po_hard,2,100,True,66.98741672834937,80.22916666666667,66.69133974833457,0.22205773501110287,79.875,0.0,2.75,35.440800846930436,49.77211324944486,11.887619527313847,72.86821705426357,65.62203228869896,50.0,75.0,71.41666666666667,86.5,82.5,80.5,haotian-gd2po-hard-s2,1.5b-gd2po_hard-s2
haotian,1.5B,gdpo_saw,0,100,True,69.72612879348631,80.79166666666667,69.94818652849742,99.9259807549963,79.52083333333333,100.0,3.75,95.83531957783002,51.07300662061025,98.5871001109421,76.35658914728683,68.4710351377018,50.0,66.66666666666667,71.66666666666667,89.0,82.5,80.0,haotian-gdpo-saw-s0,1.5b-gdpo_saw-s0
haotian,1.5B,gdpo_saw,1,100,True,69.8741672834937,80.22916666666667,70.61435973353072,100.0,79.20833333333334,100.0,2.875,91.98153197660766,50.89923102228801,97.32717732553589,75.1937984496124,69.1358024691358,43.75,62.5,70.91666666666667,89.0,81.5,79.5,haotian-gdpo-saw-s1,1.5b-gdpo_saw-s1
haotian,1.5B,gdpo_saw,2,100,True,68.6158401184308,81.1875,68.76387860843819,99.9259807549963,80.9375,100.0,4.375,92.74503694032758,51.358792869479394,97.55700589844129,74.8062015503876,67.52136752136752,50.0,62.5,72.25,90.5,85.0,77.0,haotian-gdpo-saw-s2,1.5b-gdpo_saw-s2
haotian,3B,base,,0,True,59.21539600296077,46.395833333333336,47.66839378238342,54.92227979274611,36.22916666666667,34.229166666666664,1.7500000000000002,9.16113785987423,28.54918681635003,32.770861439762335,48.83720930232558,63.05792972459639,25.0,25.0,55.583333333333336,82.0,19.0,29.0,base-3b,3b-base-s
haotian,3B,grpo,0,100,True,70.17024426350851,81.875,69.2079940784604,99.9259807549963,81.27083333333334,100.0,7.75,69.54360818645216,52.74294247059791,89.82319631381615,63.565891472868216,72.07977207977208,68.75,58.333333333333336,75.0,92.0,79.0,81.5,haotian-3b-grpo-s0,3b-grpo-s0
haotian,3B,grpo,1,100,True,69.6521095484826,82.16666666666667,69.2820133234641,99.85196150999259,82.6875,99.85416666666667,6.625,68.9513349911379,52.86483777448804,89.55248772259905,64.72868217054264,71.1301044634378,68.75,58.333333333333336,73.66666666666667,92.5,82.0,80.5,haotian-3b-grpo-s1,3b-grpo-s1
haotian,3B,grpo,2,100,True,68.76387860843819,81.5,69.43005181347151,99.6299037749815,81.47916666666667,99.54166666666666,5.5,66.41919675016231,52.13640616004606,88.53025573060349,62.7906976744186,70.4653371320038,68.75,58.333333333333336,74.5,92.0,80.5,79.0,haotian-3b-grpo-s2,3b-grpo-s2
haotian,3B,grpo,4,100,True,69.2820133234641,82.95833333333333,68.9859363434493,99.7039230199852,81.0625,99.79166666666667,6.125,67.85336472538401,52.057812114483106,89.1163181373453,64.72868217054264,70.75023741690408,68.75,54.166666666666664,75.83333333333333,91.0,83.0,82.0,haotian-3b-grpo-s4,3b-grpo-s4
